,CIK,Date first added,Founded,Sub Sector,Sector,Headquarters Location,SEC filings,Security,Gold,Intercept,M_Index,NaturalGas,Oil,Group
MMM,66740,0,1902,Industrial Conglomerates,Industrials,"St. Paul, Minnesota",reports,3M Company,0.0,0.0,1.0615151568809622,0.0,0.0,0
ABT,1800,3/31/1964,1888,Health Care Equipment,Health Care,"North Chicago, Illinois",reports,Abbott Laboratories,0.0,0.0,1.0722023950311952,0.0,-0.019397770125437547,0
ABBV,1551152,12/31/2012,2013 (1888),Pharmaceuticals,Health Care,"North Chicago, Illinois",reports,AbbVie Inc.,0.0,0.0,1.0810532705919942,0.0,0.0,0
ACN,1467373,7/6/2011,1989,IT Consulting & Other Services,Information Technology,"Dublin, Ireland",reports,Accenture plc,0.0,0.0,1.0532847636798333,0.0,0.0,0
ATVI,718877,8/31/2015,2008,Interactive Home Entertainment,Communication Services,"Santa Monica, California",reports,Activision Blizzard,0.0,0.0,1.337670360493436,0.0,0.0,0
ADBE,796343,5/5/1997,1982,Application Software,Information Technology,"San Jose, California",reports,Adobe Systems Inc,0.17563880196334858,0.0009417283429903273,1.514176164767124,0.0,0.0,7
AMD,2488,3/20/2017,1969,Semiconductors,Information Technology,"Santa Clara, California",reports,Advanced Micro Devices Inc,0.0,0.0,2.0496221587618404,0.0,0.0,0
AAP,1158449,7/9/2015,1932,Automotive Retail,Consumer Discretionary,"Raleigh, North Carolina",reports,Advance Auto Parts,0.0,0.0,0.778218158068338,0.0,0.0,1
AES,874761,10/2/1998,1981,Independent Power Producers & Energy Traders,Utilities,"Arlington, Virginia",reports,AES Corp,0.2740926137619709,0.0,0.6328558570623629,0.0,0.0,1
AFL,4977,5/28/1999,1955,Life & Health Insurance,Financials,"Columbus, Georgia",reports,AFLAC Inc,-0.09890371386447536,0.0,0.7029403796381578,0.0,0.0,1
A,1090872,6/5/2000,1999,Health Care Equipment,Health Care,"Santa Clara, California",reports,Agilent Technologies Inc,0.0,0.0,1.2134812404495792,0.0,-0.021463939312083145,0
APD,2969,4/30/1985,1940,Industrial Gases,Materials,"Allentown, Pennsylvania",reports,Air Products & Chemicals Inc,0.0,0.0,0.8961353839568703,0.0,0.0,0
AKAM,1086222,7/12/2007,1998,Internet Services & Infrastructure,Information Technology,"Cambridge, Massachusetts",reports,Akamai Technologies Inc,0.0,0.0,1.1635820187534938,0.0,0.0,0
ALK,766421,5/13/2016,1985,Airlines,Industrials,"Seattle, Washington",reports,Alaska Air Group Inc,-0.2998117911027488,0.0,1.004337793784616,0.0,-0.04081115137415022,6
ALB,915913,7/1/2016,1994,Specialty Chemicals,Materials,"Charlotte, North Carolina",reports,Albemarle Corp,0.0,0.0,1.126808264452226,0.0,0.0,0
ARE,1035443,3/20/2017,1994,Office REITs,Real Estate,"Pasadena, California",reports,Alexandria Real Estate Equities,0.1618910893167649,0.0,0.6545781259649832,0.0,0.0,1
ALXN,899866,5/25/2012,1992,Biotechnology,Health Care,"Boston, Massachusetts",reports,Alexion Pharmaceuticals,0.2869125367362662,0.0,1.3899523768413853,0.00033681272021578087,-0.045331277535556665,4
ALGN,1097149,6/19/2017,1997,Health Care Supplies,Health Care,"San Jose, California",reports,Align Technology,0.3258003894276705,0.0,1.7034198208230544,0.0,0.0,0
ALLE,1579241,12/2/2013,1908,Building Products,Industrials,"Dublin, Ireland",reports,Allegion,0.0,0.0,0.9482907068472464,0.0,0.0,0
AGN,1578845,4/12/1999,1983,Pharmaceuticals,Health Care,"Dublin, Ireland",reports,"Allergan, plc",0.23444072688755035,0.0,0.954869625688922,0.0,0.0,0
ADS,1101215,12/23/2013,1996,Data Processing & Outsourced Services,Information Technology,"Plano, Texas",reports,Alliance Data Systems,0.0,0.0,1.166153254996281,0.0,0.03638377722028946,0
LNT,352541,7/1/2016,1917,Electric Utilities,Utilities,"Madison, Wisconsin",reports,Alliant Energy Corp,0.1722462044205592,0.0,0.26002901192025185,0.0,0.0,1
ALL,899051,7/13/1995,1931,Property & Casualty Insurance,Financials,"Northfield Township, Illinois",reports,Allstate Corp,-0.17534404344999094,0.0,0.7136811367372682,0.0,0.0,6
GOOGL,1652044,4/3/2014,1998,Interactive Media & Services,Communication Services,"Mountain View, California",reports,Alphabet Inc Class A,0.10922822777009317,0.0,1.327131476654437,0.0,0.0,0
MO,764180,0,1985,Tobacco,Consumer Staples,"Richmond, Virginia",reports,Altria Group Inc,0.0,0.0,0.5650170821325297,0.0,0.0,1
AMZN,1018724,11/18/2005,1994,Internet & Direct Marketing Retail,Consumer Discretionary,"Seattle, Washington",reports,Amazon.com Inc.,0.0,0.0,1.5377910372019419,0.0,0.0,0
AEE,1002910,9/19/1991,1902,Multi-Utilities,Utilities,"St. Louis, Missouri",reports,Ameren Corp,0.1260952195849916,0.0,0.2761473863008491,0.0,0.0,1
AAL,6201,3/23/2015,1934,Airlines,Industrials,"Fort Worth, Texas",reports,American Airlines Group,-0.3118383392997874,0.0,1.408402608111333,0.0,0.0,6
AEP,4904,0,1906,Electric Utilities,Utilities,"Columbus, Ohio",reports,American Electric Power,0.1537139348475672,0.0,0.17193203403197066,0.0,0.0,1
AXP,4962,6/30/1976,1850,Consumer Finance,Financials,"New York, New York",reports,American Express Co,-0.14829899372294242,0.0,1.0471480554753525,0.0,0.0,0
AIG,5272,3/31/1980,1919,Property & Casualty Insurance,Financials,"New York, New York",reports,American International Group,-0.2249006808201763,0.0,0.8217430331127058,0.0,0.0,6
AMT,1053507,11/19/2007,1995,Specialized REITs,Real Estate,"Boston, Massachusetts",reports,American Tower Corp.,0.16218524201998644,0.0,0.4510306658588735,0.0,0.0,1
AWK,1410636,3/4/2016,1886,Water Utilities,Utilities,"Camden, New Jersey",reports,American Water Works Company Inc,0.16874961627980656,0.0,0.3744925041425847,0.0,0.0,1
AMP,820027,10/3/2005,1894,Asset Management & Custody Banks,Financials,"Minneapolis, Minnesota",reports,Ameriprise Financial,-0.27902206248784184,0.0,1.3967606369110357,0.0,0.0,6
ABC,1140859,8/30/2001,1985,Health Care Distributors,Health Care,"Chesterbrook, Pennsylvania",reports,AmerisourceBergen Corp,0.0,0.0,0.950149302739372,0.0,0.0,0
AME,1037868,9/23/2013,1930,Electrical Components & Equipment,Industrials,"Berwyn, Pennsylvania",reports,AMETEK Inc.,0.0,0.0,1.066132079845562,0.0,0.0,0
AMGN,318154,1/2/1992,1980,Biotechnology,Health Care,"Thousand Oaks, California",reports,Amgen Inc.,0.0,0.0,1.0515406406239236,0.0,0.0,0
APH,820313,9/30/2008,1932,Electronic Components,Information Technology,"Wallingford, Connecticut",reports,Amphenol Corp,0.0,0.0,0.9911143359516129,0.0,0.0,0
ADI,6281,10/12/1999,1965,Semiconductors,Information Technology,"Norwood, Massachusetts",reports,"Analog Devices, Inc.",0.0,0.0,1.1756845951951516,0.0,0.0,0
ANSS,1013462,6/19/2017,1969,Application Software,Information Technology,"Canonsburg, Pennsylvania",reports,ANSYS,0.0,0.0,1.214755096000897,0.0,-0.02342900099610977,0
ANTM,1156039,7/25/2002,2014 (1940s),Managed Health Care,Health Care,"Indianapolis, Indiana",reports,Anthem,0.0,0.0,0.8952208007292313,0.0,0.0,0
AON,315293,4/23/1996,1982 (1919),Insurance Brokers,Financials,"London, United Kingdom",reports,Aon plc,0.0,0.0,0.7300267724052022,0.0,0.0,1
APA,6769,7/28/1997,1954,Oil & Gas Exploration & Production,Energy,"Houston, Texas",reports,Apache Corporation,0.0,0.0,1.0841816234140402,0.0,0.10721061266538214,3
AIV,922864,3/14/2003,1994 (1975),Residential REITs,Real Estate,"Denver, Colorado",reports,Apartment Investment & Management,0.17645896876297434,0.0,0.4845265244600882,0.0,-0.02411197675768102,1
AAPL,320193,11/30/1982,1977,"Technology Hardware, Storage & Peripherals",Information Technology,"Cupertino, California",reports,Apple Inc.,0.0,0.0,1.2661805033123463,0.0,0.0,0
AMAT,6951,3/16/1995,1967,Semiconductor Equipment,Information Technology,"Santa Clara, California",reports,Applied Materials Inc.,0.0,0.0,1.6424416310326877,0.0,0.0,0
ADM,7084,7/29/1981,1902,Agricultural Products,Consumer Staples,"Chicago, Illinois",reports,Archer-Daniels-Midland Co,0.0,0.0,0.674626563022872,0.0,0.0,1
ARNC,4281,3/31/1964,2016,Aerospace & Defense,Industrials,"New York, New York",reports,Arconic Inc.,0.0,0.0,1.463455497954999,0.0,0.0,0
AJG,354190,5/31/2016,0,Insurance Brokers,Financials,"Itasca, Illinois",reports,Arthur J. Gallagher & Co.,-0.08628018214743136,0.0,0.7634338169465762,0.0,0.0,0
AIZ,1267238,4/10/2007,0,Multi-line Insurance,Financials,"New York, New York",reports,Assurant,-0.3430650645939073,0.0,0.7673511477885884,0.0,0.0,6
T,732717,1983-11-30 (1957-03-04),1983 (1885),Integrated Telecommunication Services,Communication Services,"Dallas, Texas",reports,AT&T Inc.,0.0,0.0,0.6580276407046475,0.0,0.0,1
ADSK,769397,12/1/1989,0,Application Software,Information Technology,"San Rafael, California",reports,Autodesk Inc.,0.0,0.0,1.7392928468545354,0.0,0.0,0
ADP,8670,3/31/1981,0,Internet Services & Infrastructure,Information Technology,"Roseland, New Jersey",reports,Automatic Data Processing,0.0,0.0,1.0079119217158832,0.0,0.0,0
AZO,866787,1/2/1997,0,Specialty Stores,Consumer Discretionary,"Memphis, Tennessee",reports,AutoZone Inc,0.0,0.0,0.4351960602350058,0.0,0.0,1
AVB,915912,1/10/2007,0,Residential REITs,Real Estate,"Arlington, Virginia[3]",reports,"AvalonBay Communities, Inc.",0.0,0.0,0.4642112101860685,0.0,-0.027700848248037372,1
AVY,8818,12/31/1987,0,Paper Packaging,Materials,"Glendale, California",reports,Avery Dennison Corp,0.0,0.0,0.9434588914819512,0.0,0.0,0
BLL,9389,10/31/1984,0,Metal & Glass Containers,Materials,"Broomfield, Colorado",reports,Ball Corp,0.0,0.0,0.7898019224537401,0.0,0.0,1
BAC,70858,6/30/1976,0,Diversified Banks,Financials,"Charlotte, North Carolina",reports,Bank of America Corp,-0.5495944870622465,0.0,1.1517689595992675,0.0,0.0,6
BK,1390777,3/31/1995,0,Asset Management & Custody Banks,Financials,"New York, New York",reports,The Bank of New York Mellon Corp.,-0.2605084389887726,0.0,0.9305398382873332,0.0,0.0,6
BAX,10456,9/30/1972,1931,Health Care Equipment,Health Care,"Deerfield, Illinois",reports,Baxter International Inc.,0.11480809343466855,0.0,0.9181187981404259,0.0,0.0,0
BDX,10795,9/30/1972,1897,Health Care Equipment,Health Care,"Franklin Lakes, New Jersey",reports,Becton Dickinson,0.158400595784724,0.0,0.9382802043561256,0.0,0.0,0
BBY,764478,6/29/1999,0,Computer & Electronics Retail,Consumer Discretionary,"Richfield, Minnesota",reports,Best Buy Co. Inc.,0.0,0.0,1.0582567432598116,0.0,0.0,0
BIIB,875045,11/13/2003,0,Biotechnology,Health Care,"Cambridge, Massachusetts",reports,Biogen Inc.,0.0,0.0,1.0131810907532042,0.0,0.0,0
BLK,1364742,4/4/2011,0,Asset Management & Custody Banks,Financials,"New York, New York",reports,BlackRock,0.0,0.0,1.2369964262205828,0.0,0.0,0
HRB,12659,11/30/1986,0,Specialized Consumer Services,Consumer Discretionary,"Kansas City, Missouri",reports,H&R Block,-0.2287471243888935,0.0,0.7907782263332317,0.0,0.0,6
BA,12927,0,1916,Aerospace & Defense,Industrials,"Chicago, Illinois",reports,Boeing Company,0.0,0.0010306080468222498,1.2214937585985728,0.0,0.0,7
BWA,908255,12/19/2011,0,Auto Parts & Equipment,Consumer Discretionary,"Auburn Hills, Michigan",reports,BorgWarner,0.0,0.0,1.3032752474056477,0.0,0.0,0
BXP,1037540,4/3/2006,0,Office REITs,Real Estate,"Boston, Massachusetts",reports,Boston Properties,0.0,0.0,0.6637412052757294,0.0,0.0,1
BSX,885725,2/24/1995,0,Health Care Equipment,Health Care,"Marlborough, Massachusetts[4]",reports,Boston Scientific,0.0,0.0,1.1391128423132506,0.0,0.0,0
BMY,14272,0,1989,Health Care Distributors,Health Care,"New York, New York",reports,Bristol-Myers Squibb,0.0,0.0,0.7926219985194828,0.0,0.0,1
CHRW,1043277,3/2/2007,0,Air Freight & Logistics,Industrials,"Eden Prairie, Minnesota",reports,C. H. Robinson Worldwide,-0.13296661667693854,0.0,0.7784625605992365,0.0,0.0,0
COG,858470,6/23/2008,0,Oil & Gas Exploration & Production,Energy,"Houston, Texas",reports,Cabot Oil & Gas,0.0,0.0,0.7862310087284928,0.0,0.06044391632361103,3
CPB,16732,0,1869,Packaged Foods & Meats,Consumer Staples,"Camden, New Jersey",reports,Campbell Soup,0.0,0.0,0.3015133847517112,0.0,0.0,1
COF,927628,7/1/1998,1935,Consumer Finance,Financials,"Tysons Corner, Virginia",reports,Capital One Financial,-0.31401244316805754,0.0,1.1143221908123973,0.0,0.0,6
CAH,721371,5/27/1997,0,Health Care Distributors,Health Care,"Dublin, Ohio",reports,Cardinal Health Inc.,0.0,0.0,0.9506841841140964,0.0,0.0,0
CBOE,1374310,3/1/2017,0,Financial Exchanges & Data,Financials,"Chicago, Illinois",reports,Cboe Global Markets,0.0,0.0,0.4844178790992441,0.0,0.0,1
KMX,1170010,6/28/2010,0,Specialty Stores,Consumer Discretionary,"Richmond, Virginia",reports,Carmax Inc,0.0,0.0,0.9733972854668004,0.0,0.0,0
CCL,815097,12/22/1998,0,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,"Miami, Florida",reports,Carnival Corp.,-0.15534241859600395,0.0,0.9496218318768892,0.0,-0.038682654747509634,6
CAT,18230,0,1925,Construction Machinery & Heavy Trucks,Industrials,"Deerfield, Illinois",reports,Caterpillar Inc.,0.0,0.0,1.475244761377308,0.0,0.0,0
CNC,1071739,3/30/2016,0,Managed Health Care,Health Care,"St Louis, Missouri",reports,Centene Corporation,0.0,0.0,1.1107765694964074,0.0,0.0,0
CNP,1130310,7/31/1985,0,Multi-Utilities,Utilities,"Houston, Texas",reports,CenterPoint Energy,0.18859843968665835,0.0,0.4224650355236943,0.0,0.0,1
CTL,18926,3/25/1999,0,Alternative Carriers,Communication Services,"Monroe, Louisiana",reports,CenturyLink Inc,0.2464762290446677,-0.001604211496858,1.0087236876497472,0.0,0.0,2
CERN,804753,4/30/2010,0,Health Care Technology,Health Care,"North Kansas City, Missouri",reports,Cerner,0.0,0.0,0.9344284312970186,0.0,0.0,0
CF,1324404,8/27/2008,0,Fertilizers & Agricultural Chemicals,Materials,"Deerfield, Illinois",reports,CF Industries Holdings Inc,0.0,0.0,1.288797910161414,0.0,0.04737451667691833,0
SCHW,316709,6/2/1997,0,Investment Banking & Brokerage,Financials,"San Francisco, California",reports,Charles Schwab Corporation,-0.5259825325696782,0.0,1.275933236386776,0.0,0.0,6
CHTR,1091667,9/8/2016,0,Cable & Satellite,Communication Services,"Stamford, Connecticut",reports,Charter Communications,0.0,0.0,0.9373218001800752,0.0,0.0,0
CVX,93410,0,1879,Integrated Oil & Gas,Energy,"San Ramon, California",reports,Chevron Corp.,0.0,0.0,0.8522118781781427,-0.00017386651476003977,0.04865108938461594,5
CB,896159,7/15/2010,0,Property & Casualty Insurance,Financials,"Zurich, Switzerland",reports,Chubb Limited,0.0,0.0,0.6700105907882594,0.0,0.0,1
CHD,313927,12/29/2015,0,Household Products,Consumer Staples,"Ewing, New Jersey",reports,Church & Dwight,0.0,0.0,0.44350614223744733,0.0,0.0,1
CI,701221,6/30/1976,0,Managed Health Care,Health Care,"Bloomfield, Connecticut",reports,CIGNA Corp.,0.0,0.0,0.8792235652241963,0.0,0.0,0
XEC,1168054,6/21/2014,0,Oil & Gas Exploration & Production,Energy,"Denver, Colorado",reports,Cimarex Energy,0.0,0.0,1.1087619269326827,0.0,0.0971040705455511,3
CINF,20286,12/18/1997,0,Property & Casualty Insurance,Financials,"Fairfield, Ohio",reports,Cincinnati Financial,0.0,0.0,0.7528375721438111,0.0,0.0,1
CTAS,723254,3/1/2001,0,Diversified Support Services,Industrials,"Mason, Ohio",reports,Cintas Corporation,0.0,0.0,1.0437914834400703,0.0,0.0,0
CSCO,858877,12/1/1993,0,Communications Equipment,Information Technology,"San Jose, California",reports,Cisco Systems,0.0,0.0,1.2357509805516649,0.0,0.0,0
C,831001,5/31/1988,0,Diversified Banks,Financials,"New York, New York",reports,Citigroup Inc.,-0.3252020095805228,0.0,1.1377951966332345,0.0,0.0,6
CFG,759944,1/29/2016,0,Regional Banks,Financials,"Providence, Rhode Island",reports,Citizens Financial Group,-0.5549290093938667,0.0,1.1031688110758529,0.0,0.0,6
CTXS,877890,12/1/1999,0,Application Software,Information Technology,"Fort Lauderdale, Florida",reports,Citrix Systems,0.0,0.0,0.8703765026432242,0.0,0.0,0
CLX,21076,3/31/1969,1913,Household Products,Consumer Staples,"Oakland, California",reports,The Clorox Company,0.0,0.0,0.4614065656677391,0.0,0.0,1
CME,1156375,8/11/2006,0,Financial Exchanges & Data,Financials,"Chicago, Illinois",reports,CME Group Inc.,-0.2293554526070795,0.0,0.6545700390522793,0.0,0.0,6
CMS,811156,5/3/1999,0,Multi-Utilities,Utilities,"Jackson, Michigan",reports,CMS Energy,0.14587970329800595,0.0,0.2178289750915468,0.0,0.0,1
KO,21344,0,1886,Soft Drinks,Consumer Staples,"Atlanta, Georgia",reports,Coca-Cola Company,0.0,0.0,0.4470431438546547,0.0,0.0,1
CTSH,1058290,11/17/2006,0,IT Consulting & Other Services,Information Technology,"Teaneck, New Jersey",reports,Cognizant Technology Solutions,0.0,0.0,0.9463612200058068,0.0,0.0,0
CL,21665,0,1806,Household Products,Consumer Staples,"New York, New York",reports,Colgate-Palmolive,0.1449431606558076,0.0,0.4757504100710193,0.0,0.0,1
CMCSA,1166691,9/18/2015,0,Cable & Satellite,Communication Services,"Philadelphia, Pennsylvania",reports,Comcast Corp.,0.0,0.0,0.8817719036238989,0.0,0.0,0
CMA,28412,12/1/1995,0,Diversified Banks,Financials,"Dallas, Texas",reports,Comerica Inc.,-0.4504453916016133,0.0,1.051430096490188,0.0,0.0,6
CAG,23217,8/31/1983,0,Packaged Foods & Meats,Consumer Staples,"Chicago, Illinois",reports,Conagra Brands,0.0,0.0,0.5811472600540276,0.0,0.0,1
CXO,1358071,2/22/2016,0,Oil & Gas Exploration & Production,Energy,"Midland, Texas",reports,Concho Resources,0.0,0.0,1.121224089328163,0.0,0.12652877355045433,3
COP,1163165,0,2002,Oil & Gas Exploration & Production,Energy,"Houston, Texas",reports,ConocoPhillips,0.0,0.0,0.9972734582096818,0.0,0.11081192653427348,3
ED,1047862,0,1823,Electric Utilities,Utilities,"New York, New York",reports,Consolidated Edison,0.1791627764482432,0.0,0.19553244419794025,0.0,0.0,1
STZ,16918,7/1/2005,0,Distillers & Vintners,Consumer Staples,"Victor, New York",reports,Constellation Brands,0.0,0.0,0.6702053188458442,0.0,0.0,1
COO,711404,9/23/2016,0,Health Care Supplies,Health Care,"San Ramon, California",reports,The Cooper Companies,0.0,0.0,0.9295345955404696,0.0,0.0,0
GLW,24741,0,1851,Electronic Components,Information Technology,"Corning, New York",reports,Corning Inc.,0.0,0.0,1.2475270627635922,0.0,0.0,0
COST,909832,10/1/1993,0,Hypermarkets & Super Centers,Consumer Staples,"Issaquah, Washington",reports,Costco Wholesale Corp.,0.0,0.0,0.8121594473602918,0.0,0.0,0
COTY,1024305,10/3/2016,0,Personal Products,Consumer Staples,"New York, New York",reports,"Coty, Inc",0.0,0.0,0.7234080109734964,0.0,0.0,1
CCI,1051470,3/14/2012,0,Specialized REITs,Real Estate,"Houston, Texas",reports,Crown Castle International Corp.,0.23128659013647934,0.0,0.4576641774435638,0.0,0.0,1
CSX,277948,9/30/1967,1980,Railroads,Industrials,"Jacksonville, Florida",reports,CSX Corp.,0.0,0.00113623543622924,1.1196061734792615,0.0,0.0,7
CMI,26172,3/31/1965,1919,Industrial Machinery,Industrials,"Columbus, Indiana",reports,Cummins Inc.,0.0,0.0,1.0205268126680749,0.0,0.0,0
CVS,64803,0,1996,Health Care Services,Health Care,"Woonsocket, Rhode Island",reports,CVS Health,0.0,0.0,0.8422932022907434,0.0,0.0,0
DHI,882184,0,1978,Homebuilding,Consumer Discretionary,"Fort Worth, Texas",reports,D. R. Horton,0.20513926978456187,0.0,0.949928966545686,0.0,0.0,0
DHR,313616,0,1969,Health Care Equipment,Health Care,"Washington, D.C.",reports,Danaher Corp.,0.0,0.0,0.9420631699315553,0.0,0.0,0
DRI,940944,0,1938,Restaurants,Consumer Discretionary,"Orlando, Florida",reports,Darden Restaurants,-0.1892242366009051,0.0,0.6882778582629073,0.0,0.0,6
DVA,927066,7/31/2008,0,Health Care Facilities,Health Care,"Denver, Colorado",reports,DaVita Inc.,0.0,0.0,0.9482601134490553,0.0,0.0,0
DE,315189,0,1837,Agricultural & Farm Machinery,Industrials,"Moline, Illinois",reports,Deere & Co.,0.0,0.0,1.1991113327267684,0.0,0.0,0
DAL,27904,9/11/2013,0,Airlines,Industrials,"Atlanta, Georgia",reports,Delta Air Lines Inc.,-0.28546441064151284,0.0,1.1313944640806384,0.0,-0.03435659401878473,6
XRAY,818479,11/14/2008,0,Health Care Supplies,Health Care,"York, Pennsylvania",reports,Dentsply Sirona,0.0,0.0,0.7309406490556517,0.0,0.0,1
DVN,1090012,8/30/2000,0,Oil & Gas Exploration & Production,Energy,"Oklahoma City, Oklahoma",reports,Devon Energy,0.0,0.0,1.2996557308743495,0.0,0.1211380922746664,3
DLR,1297996,5/18/2016,0,Specialized REITs,Real Estate,"San Francisco, California",reports,Digital Realty Trust Inc,0.2425163693889988,0.0,0.6507662863344044,0.0,0.0,1
DFS,1393612,7/2/2007,0,Consumer Finance,Financials,"Riverwoods, Illinois",reports,Discover Financial Services,-0.2740666648539569,0.0,1.1700285307156308,0.0,0.0,6
DISCA,1437107,3/1/2010,0,Broadcasting,Communication Services,"Silver Spring, Maryland",reports,Discovery Inc. Class A,0.0,0.0,0.8581717803258262,0.0,0.0,0
DISCK,1437107,8/7/2014,0,Broadcasting,Communication Services,"Silver Spring, Maryland",reports,Discovery Inc. Class C,0.0,0.0,0.8858637014683806,0.0,0.0,0
DISH,1001082,3/13/2017,0,Cable & Satellite,Communication Services,"Meridian, Colorado",reports,Dish Network,0.0,0.0,1.1462917240701844,0.0,0.0,0
DG,29534,12/3/2012,0,General Merchandise Stores,Consumer Discretionary,"Goodlettsville, Tennessee",reports,Dollar General,0.0,0.0,0.8141722601362931,0.0,0.0,0
DLTR,935703,12/19/2011,0,General Merchandise Stores,Consumer Discretionary,"Chesapeake, Virginia",reports,Dollar Tree,0.0,0.0,0.7460457960572773,0.0,0.0,1
D,715957,0,1983,Electric Utilities,Utilities,"Richmond, Virginia",reports,Dominion Energy,0.16749256923547998,0.0,0.2092968322580296,0.0,0.0,1
DOV,29905,10/31/1985,0,Industrial Machinery,Industrials,"Downers Grove, Illinois",reports,Dover Corp.,0.0,0.0,0.9983021412548458,0.0,0.03859991535537953,0
DTE,936340,0,1995,Multi-Utilities,Utilities,"Detroit, Michigan",reports,DTE Energy Co.,0.1823219618483426,0.0,0.190789513699489,0.0,0.0,1
DD,1666700,0,2017,Specialty Chemicals,Materials,"Midland, Michigan",reports,DuPont de Nemours Inc,0.0,0.0,1.1976635118064762,0.0,0.0,0
DUK,1326160,6/30/1976,0,Electric Utilities,Utilities,"Charlotte, North Carolina",reports,Duke Energy,0.13585632833804814,0.0,0.17144773413605174,0.0,0.0,1
DXC,1688568,4/4/2017,2017,IT Consulting & Other Services,Information Technology,"Tysons Corner, Virginia",reports,DXC Technology,0.0,0.0,1.1942158448249878,0.0,0.0,0
ETFC,1015780,3/31/2004,0,Investment Banking & Brokerage,Financials,"New York, New York",reports,E*Trade,-0.42276197484568895,0.0,1.2500728864141206,0.0,0.0,6
EMN,915389,1/1/1994,0,Diversified Chemicals,Materials,"Kingsport, Tennessee",reports,Eastman Chemical,0.0,0.0,1.1133993631420285,0.0,0.0,0
