,CIK,Date first added,Founded,Sub Sector,Sector,Headquarters Location,SEC filings,Security,Gold,Intercept,M_Index,NaturalGas,Oil,Group
ETN,1551182,0,1911,Electrical Components & Equipment,Industrials,"Dublin, Ireland",reports,Eaton Corporation,0.0,0.0,1.0663606722462935,0.0,0.0,0
EBAY,1065088,0,1995,Internet & Direct Marketing Retail,Consumer Discretionary,"San Jose, California",reports,eBay Inc.,0.0,0.0,0.9610091191079784,0.0,0.0,0
ECL,31462,1/31/1989,0,Specialty Chemicals,Materials,"St. Paul, Minnesota",reports,Ecolab Inc.,0.0,0.0,0.7742312325423586,0.0,0.0,1
EIX,827052,0,1886,Electric Utilities,Utilities,"Rosemead, California",reports,Edison Int'l,0.2929588943480692,0.0,0.4665696118663947,0.0,0.0,1
EW,1099800,4/1/2011,0,Health Care Equipment,Health Care,"Irvine, California",reports,Edwards Lifesciences,0.0,0.0,1.1943687394537763,0.0,0.0,0
EA,712515,7/22/2002,0,Interactive Home Entertainment,Communication Services,"Redwood City, California",reports,Electronic Arts,0.0,0.0,1.18107041855268,0.0,0.0,0
EMR,32604,3/31/1965,1890,Electrical Components & Equipment,Industrials,"Ferguson, Missouri",reports,Emerson Electric Company,0.0,0.0,1.121978234959444,0.0,0.0,0
ETR,65984,0,1913,Electric Utilities,Utilities,"New Orleans, Louisiana",reports,Entergy Corp.,0.15583726310763427,0.0,0.25425106271867776,0.0,0.0,1
EOG,821189,11/2/2000,0,Oil & Gas Exploration & Production,Energy,"Houston, Texas",reports,EOG Resources,0.0,0.0,1.028770377646553,0.0,0.09543675077981267,3
EFX,33185,6/19/1997,0,Research & Consulting Services,Industrials,"Atlanta, Georgia",reports,Equifax Inc.,0.0,0.0,0.7712749422973894,0.0,0.0,1
EQIX,1101239,3/20/2015,0,Specialized REITs,Real Estate,"Redwood City, California",reports,Equinix,0.0,0.0,0.6330548739897611,0.0,0.0,1
EQR,906107,12/3/2001,0,Residential REITs,Real Estate,"Chicago, Illinois",reports,Equity Residential,0.0,0.0,0.4521756305848248,0.0,0.0,1
ESS,920522,4/2/2014,0,Residential REITs,Real Estate,"Palo Alto, California",reports,"Essex Property Trust, Inc.",0.15116422456821751,0.0,0.4185798894603924,0.0,-0.02326361898539419,1
EL,1001250,1/5/2006,0,Personal Products,Consumer Staples,"New York, New York",reports,Estee Lauder Cos.,0.0,0.0,0.8614508021219687,0.0,0.0,0
ES,72741,0,1966,Multi-Utilities,Utilities,"Springfield, Massachusetts",reports,Eversource Energy,0.1815438986898857,0.0,0.2463650299968244,0.0,0.0,1
RE,1095073,6/19/2017,0,Reinsurance,Financials,"Hamilton, Bermuda",reports,Everest Re Group Ltd.,-0.14234336154539795,0.0,0.5627011596966217,0.0,0.0,1
EXC,1109357,0,2000,Multi-Utilities,Utilities,"Chicago, Illinois",reports,Exelon Corp.,0.1744668393190861,0.0,0.2996513407393763,0.0,0.022464453489498208,1
EXPE,1324424,10/2/2007,0,Internet & Direct Marketing Retail,Consumer Discretionary,"Bellevue, Washington",reports,Expedia Group,0.0,0.0,0.8038108116335353,0.0,0.0,0
EXPD,746515,10/10/2007,0,Air Freight & Logistics,Industrials,"Seattle, Washington",reports,Expeditors,0.0,0.0,0.924934512004973,0.0,0.0,0
EXR,1289490,1/19/2016,0,Specialized REITs,Real Estate,"Salt Lake City, Utah",reports,Extra Space Storage,0.24519478758944466,0.0,0.384732012147322,0.0,-0.026026100565349833,1
XOM,34088,0,1999,Integrated Oil & Gas,Energy,"Irving, Texas",reports,Exxon Mobil Corp.,0.0,-0.0006613365876227249,0.7939678332221958,0.0,0.05287500352191299,3
FFIV,1048695,12/20/2010,1996,Communications Equipment,Information Technology,"Seattle, Washington",reports,F5 Networks,0.0,0.0,1.0580439501808108,0.0,0.0,0
FB,1326801,12/23/2013,0,Interactive Media & Services,Communication Services,"Menlo Park, California",reports,"Facebook, Inc.",0.0,0.0,1.2373892468001595,0.0,0.0,0
FAST,815556,9/15/2009,0,Building Products,Industrials,"Winona, Minnesota",reports,Fastenal Co,-0.17455621115544626,0.0,1.0301152089760262,0.0,0.0,6
FRT,34903,2/1/2016,0,Retail REITs,Real Estate,"Rockville, Maryland",reports,Federal Realty Investment Trust,0.1934394432710705,0.0,0.5238932196146525,0.0,0.0,1
FDX,1048911,12/31/1980,0,Air Freight & Logistics,Industrials,"Memphis, Tennessee",reports,FedEx Corporation,0.0,0.0,1.2126924722018786,0.0,0.0,0
FIS,1136893,11/10/2006,0,Data Processing & Outsourced Services,Information Technology,"Jacksonville, Florida",reports,Fidelity National Information Services,0.0,0.0,0.8391041550438485,0.0,0.0,0
FITB,35527,0,1858,Regional Banks,Financials,"Cincinnati, Ohio",reports,Fifth Third Bancorp,-0.4391391688812829,0.0,0.938019964952424,0.0,0.0,6
FE,1031296,0,1997,Electric Utilities,Utilities,"Akron, Ohio",reports,FirstEnergy Corp,0.13820183609012618,0.0,0.2842709856905892,0.0,0.0,1
FISV,798354,4/2/2001,0,Data Processing & Outsourced Services,Information Technology,"Brookfield, Wisconsin",reports,Fiserv Inc,0.0,0.0,0.8540963268866709,0.0,0.0,0
FLIR,354908,1/2/2009,0,Electronic Equipment & Instruments,Information Technology,"Wilsonville, Oregon",reports,FLIR Systems,0.0,0.0,0.8936169858079623,0.0,0.0,0
FLS,30625,10/2/2008,0,Industrial Machinery,Industrials,"Irving, Texas",reports,Flowserve Corporation,0.0,0.0,1.3199600270788108,0.0,0.04409204956005317,0
FMC,37785,8/19/2009,0,Fertilizers & Agricultural Chemicals,Materials,"Philadelphia, Pennsylvania",reports,FMC Corporation,0.0,0.0,1.117900520659598,0.0,0.0,0
F,37996,0,1903,Automobile Manufacturers,Consumer Discretionary,"Dearborn, Michigan",reports,Ford Motor,0.0,0.0,0.9480981813445648,0.0,0.0,0
FTV,1659166,7/1/2016,2016,Industrial Machinery,Industrials,"Everett, Washington",reports,Fortive Corp,0.0,0.0,1.0151665541765924,0.0,0.0,0
FBHS,1519751,6/22/2016,0,Building Products,Industrials,"Deerfield, Illinois",reports,Fortune Brands Home & Security,0.0,0.0,1.1173160263431718,0.0,0.0,0
BEN,38777,0,1947,Asset Management & Custody Banks,Financials,"San Mateo, California",reports,Franklin Resources,0.0,0.0,1.125059723083113,0.0,0.0,0
FCX,831259,0,1912,Copper,Materials,"Phoenix, Arizona",reports,Freeport-McMoRan Inc.,0.7732984899404118,0.0,1.6915078167429352,0.0,0.06463043473772451,3
GPS,39911,8/31/1986,0,Apparel Retail,Consumer Discretionary,"San Francisco, California",reports,Gap Inc.,0.0,0.0,0.8825325672247163,0.0,0.0,0
GRMN,1121788,12/12/2012,0,Consumer Electronics,Consumer Discretionary,"Schaffhausen, Switzerland",reports,Garmin Ltd.,0.0,0.0,0.8626713408950936,0.0,0.0,0
IT,749251,4/5/2017,0,IT Consulting & Other Services,Information Technology,"Stamford, Connecticut",reports,Gartner Inc,0.0,0.0,0.9524799301501401,0.0,0.0,0
GD,40533,0,1899,Aerospace & Defense,Industrials,"Falls Church, Virginia",reports,General Dynamics,0.0,0.0,0.8940624206547684,0.0,0.0,0
GE,40545,0,1892,Industrial Conglomerates,Industrials,"Boston, Massachusetts",reports,General Electric,0.0,-0.0017856919043938812,0.8709070377151059,0.0,0.0,2
GIS,40704,3/31/1969,1856,Packaged Foods & Meats,Consumer Staples,"Golden Valley, Minnesota",reports,General Mills,0.0,0.0,0.4506458823723373,0.0,0.0,1
GM,1467858,6/6/2013,0,Automobile Manufacturers,Consumer Discretionary,"Detroit, Michigan",reports,General Motors,0.0,0.0,1.051654454652859,0.0,0.0,0
GPC,40987,12/31/1973,1925,Specialty Stores,Consumer Discretionary,"Atlanta, Georgia",reports,Genuine Parts,0.0,0.0,0.7084284550828168,0.0,0.0,1
GILD,882095,7/1/2004,0,Biotechnology,Health Care,"Foster City, California",reports,Gilead Sciences,0.0,0.0,0.9522498646585176,0.0,0.0,0
GPN,1123360,4/25/2016,0,Data Processing & Outsourced Services,Information Technology,"Atlanta, Georgia",reports,Global Payments Inc.,0.0,0.0,1.2047499625429021,0.0,0.0,0
GS,886982,7/22/2002,0,Investment Banking & Brokerage,Financials,"New York, New York",reports,Goldman Sachs Group,-0.29937933241012804,0.0,1.2222839155559702,0.0,0.0,6
GWW,277135,6/30/1981,0,Industrial Machinery,Industrials,"Lake Forest, Illinois",reports,Grainger (W.W.) Inc.,0.0,0.0,0.8633372919558615,0.0,0.0,0
HAL,45012,0,1919,Oil & Gas Equipment & Services,Energy,"Houston, Texas",reports,Halliburton Co.,0.18179631340262808,0.0,1.042617234330266,0.0,0.07845915516709684,3
HBI,1359841,3/20/2015,2000,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,"Winston-Salem, North Carolina",reports,Hanesbrands Inc,0.0,0.0,0.9178261227659474,0.0,0.0,0
HOG,793952,0,1903,Motorcycle Manufacturers,Consumer Discretionary,"Milwaukee, Wisconsin",reports,Harley-Davidson,0.0,0.0,0.9838820762178372,0.0,0.0,0
HIG,874766,0,0,Property & Casualty Insurance,Financials,"Hartford, Connecticut",reports,Hartford Financial Svc.Gp.,-0.2531063358948549,0.0,0.7685499413635719,0.0,0.0,6
HAS,46080,9/30/1984,0,Leisure Products,Consumer Discretionary,"Pawtucket, Rhode Island",reports,Hasbro Inc.,0.0,0.0,0.7211149402044957,0.0,0.0,1
HCA,860730,1/27/2015,0,Health Care Facilities,Health Care,"Nashville, Tennessee",reports,HCA Healthcare,0.0,0.0,0.8919197091588528,0.0,0.0,0
HP,46765,3/1/2010,0,Oil & Gas Drilling,Energy,"Tulsa, Oklahoma[5]",reports,Helmerich & Payne,0.0,0.0,1.0576041665228075,0.0,0.09004874579079722,3
HSIC,1000228,3/17/2015,0,Health Care Distributors,Health Care,"Melville, New York",reports,Henry Schein,0.0,0.0,0.87242524057391,0.0,-0.0573040033140409,1
HSY,47111,0,1894,Packaged Foods & Meats,Consumer Staples,"Hershey, Pennsylvania",reports,The Hershey Company,0.0,0.0,0.35983220829320484,0.0,0.0,1
HES,4447,5/31/1984,0,Integrated Oil & Gas,Energy,"New York, New York",reports,Hess Corporation,0.0,0.0,1.4346166448801936,0.0,0.1310706049501569,3
HPE,1645590,11/2/2015,2015,"Technology Hardware, Storage & Peripherals",Information Technology,"Palo Alto, California",reports,Hewlett Packard Enterprise,0.0,0.0,1.2305050213460198,0.0,0.0,0
HLT,1585689,6/19/2017,0,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,"Tysons Corner, Virginia",reports,Hilton Worldwide Holdings Inc,-0.1258099060691754,0.0,0.9681041489392588,0.0,0.0,0
HOLX,859737,3/30/2016,0,Health Care Equipment,Health Care,"Marlborough, Massachusetts",reports,Hologic,0.0,0.0,0.9295168346547392,0.0,0.0,0
HD,354950,3/31/1988,0,Home Improvement Retail,Consumer Discretionary,"Atlanta, Georgia",reports,Home Depot,0.0,0.0,0.9555513535586296,0.0,0.0,0
HON,773840,3/31/1964,1906,Industrial Conglomerates,Industrials,"Morristown, New Jersey",reports,Honeywell Int'l Inc.,0.0,0.0,0.9123894269586308,0.0,0.0,0
HRL,48465,3/4/2009,0,Packaged Foods & Meats,Consumer Staples,"Austin, Minnesota",reports,Hormel Foods Corp.,0.1441149637505827,0.0,0.5472032312037396,0.0,0.0,1
HST,1070750,3/20/2007,0,Hotel & Resort REITs,Real Estate,"Bethesda, Maryland",reports,Host Hotels & Resorts,-0.25712224568165915,0.0,0.8247079238772248,0.0,0.0,6
HPQ,47217,12/31/1974,1939 (2015),"Technology Hardware, Storage & Peripherals",Information Technology,"Palo Alto, California",reports,HP Inc.,0.0,0.0,1.32235768378065,0.0,0.0,0
HUM,49071,0,1961,Managed Health Care,Health Care,"Louisville, Kentucky",reports,Humana Inc.,0.0,0.0,0.7316238412600036,0.0,0.0,1
HBAN,49196,0,1866,Regional Banks,Financials,"Columbus, Ohio",reports,Huntington Bancshares,-0.5368829979206214,0.0,0.9750414837861524,0.0,0.0,6
IDXX,874716,1/5/2017,0,Health Care Equipment,Health Care,"Westbrook, Maine",reports,IDEXX Laboratories,0.0,0.0,1.2674115350441777,0.0,0.0,0
INFO,1598014,6/2/2017,0,Research & Consulting Services,Industrials,"London, United Kingdom",reports,IHS Markit Ltd.,0.1387120358476136,0.0,0.8891653021727325,0.0,0.0,0
ITW,49826,2/28/1986,0,Industrial Machinery,Industrials,"Glenview, Illinois",reports,Illinois Tool Works,-0.11320694208094526,0.0,1.0840912107116898,0.0,0.0,0
ILMN,1110803,11/19/2015,0,Life Sciences Tools & Services,Health Care,"San Diego, California",reports,Illumina Inc,0.0,0.0,1.5492318066811317,0.0,0.0,0
IR,1466258,11/17/2010,0,Industrial Machinery,Industrials,"Dublin, Ireland",reports,Ingersoll-Rand PLC,0.0,0.0,1.0823842724502362,0.0,0.0,0
INTC,50863,12/31/1976,0,Semiconductors,Information Technology,"Santa Clara, California",reports,Intel Corp.,0.0,0.0,1.3150570451337795,0.0,0.0,0
ICE,1571949,9/26/2007,0,Financial Exchanges & Data,Financials,"Atlanta, Georgia",reports,Intercontinental Exchange,-0.1430711039043713,0.0,0.7683355735664814,0.0,0.0,0
IBM,51143,0,1911,IT Consulting & Other Services,Information Technology,"Armonk, New York",reports,International Business Machines,0.0,0.0,0.9284304159244722,0.0,0.0,0
INCY,879169,2/28/2017,0,Biotechnology,Health Care,"Wilmington, Delaware",reports,Incyte,0.0,0.0,1.3121988404504237,0.0,0.0,0
IP,51434,0,1898,Paper Packaging,Materials,"Memphis, Tennessee",reports,International Paper,0.0,0.0,1.0938333461933634,0.0,0.0,0
IPG,51644,10/1/1992,0,Advertising,Communication Services,"New York, New York",reports,Interpublic Group,0.0,0.0,0.8604839987671735,0.0,0.0,0
IFF,51253,3/31/1976,0,Specialty Chemicals,Materials,"New York, New York",reports,Intl Flavors & Fragrances,0.0,0.0,0.7554336173022028,0.0,0.0,1
INTU,896878,12/5/2000,0,Application Software,Information Technology,"Mountain View, California",reports,Intuit Inc.,0.0,0.0,1.2173603508771222,0.0,-0.02180943965556201,0
ISRG,1035267,6/2/2008,0,Health Care Equipment,Health Care,"Sunnyvale, California",reports,Intuitive Surgical Inc.,0.0,0.0,1.3315240381925757,0.0,0.0,0
IVZ,914208,8/21/2008,0,Asset Management & Custody Banks,Financials,"Atlanta, Georgia",reports,Invesco Ltd.,0.0,0.0,1.1847092756811914,0.0,0.0,0
IRM,1020569,1/6/2009,0,Specialized REITs,Real Estate,"Boston, Massachusetts",reports,Iron Mountain Incorporated,0.20919427778744087,0.0,0.693300392515344,0.0,0.0,1
JBHT,728535,7/1/2015,0,Trucking,Industrials,"Lowell, Arkansas",reports,J. B. Hunt Transport Services,0.0,0.0,0.9057856422763606,0.0,0.0,0
SJM,91419,11/6/2008,0,Packaged Foods & Meats,Consumer Staples,"Orrville, Ohio",reports,JM Smucker,0.0,0.0,0.3728434961012008,0.0,0.0,1
JNJ,200406,6/30/1973,1886,Pharmaceuticals,Health Care,"New Brunswick, New Jersey",reports,Johnson & Johnson,0.0,0.0,0.6969208284184903,0.0,0.0,1
JCI,833444,8/27/2010,0,Building Products,Industrials,"Cork, Ireland",reports,Johnson Controls International,0.0,0.0,0.9910508726978864,0.0,0.0,0
JPM,19617,6/30/1975,0,Diversified Banks,Financials,"New York, New York",reports,JPMorgan Chase & Co.,-0.3301414919608149,0.0,1.0186095706153713,0.0,0.0,6
JNPR,1043604,0,1996,Communications Equipment,Information Technology,"Sunnyvale, California",reports,Juniper Networks,-0.16392440589654142,0.0,0.9721306610146708,0.0,0.0,0
KSU,54480,5/24/2013,0,Railroads,Industrials,"Kansas City, Missouri",reports,Kansas City Southern,0.0,0.0,0.9226136629724124,0.0,0.0,0
K,55067,0,1906,Packaged Foods & Meats,Consumer Staples,"Battle Creek, Michigan",reports,Kellogg Co.,0.0,0.0,0.43841061690008143,0.0,0.0,1
KEY,91576,3/1/1994,0,Regional Banks,Financials,"Cleveland, Ohio",reports,KeyCorp,-0.5304570498532631,0.0,1.0752171622311617,0.0,0.0,6
KMB,55785,0,1872,Household Products,Consumer Staples,"Irving, Texas",reports,Kimberly-Clark,0.0,0.0,0.4298865790756636,0.0,0.0,1
KIM,879101,4/4/2006,0,Retail REITs,Real Estate,"New Hyde Park, New York",reports,Kimco Realty,0.0,0.0,0.6253427490518529,0.0,0.0,1
KMI,1506307,5/25/2012,0,Oil & Gas Storage & Transportation,Energy,"Houston, Texas",reports,Kinder Morgan,0.0,0.0,0.930124620056892,0.0,0.04551510087190956,0
KLAC,319201,0,1975/1977 (1997),Semiconductor Equipment,Information Technology,"Milpitas, California",reports,KLA Corporation,0.0,0.0,1.498749320717356,0.0,0.0,0
KSS,885639,0,1962,General Merchandise Stores,Consumer Discretionary,"Menomonee Falls, Wisconsin",reports,Kohl's Corp.,-0.34939254711173023,0.0,1.0202893230610308,0.0,0.0,6
KHC,1637459,7/6/2015,2015 (1869),Packaged Foods & Meats,Consumer Staples,"Chicago, Illinois; Pittsburgh, Pennsylvania",reports,Kraft Heinz Co,0.0,-0.0016178919371725208,0.6842151370046113,0.0,0.0,2
KR,56873,0,1883,Food Retail,Consumer Staples,"Cincinnati, Ohio",reports,Kroger Co.,0.0,0.0,0.5988687676612955,0.0,0.0,1
LB,701985,9/30/1983,0,Apparel Retail,Consumer Discretionary,"Columbus, Ohio",reports,L Brands Inc.,0.0,0.0,1.0491373053845832,0.0,0.0,0
LH,920148,11/1/2004,0,Health Care Services,Health Care,"Burlington, North Carolina",reports,Laboratory Corp. of America Holding,0.0,0.0,0.8833940965759113,0.0,0.0,0
LRCX,707549,6/29/2012,0,Semiconductor Equipment,Information Technology,"Fremont, California",reports,Lam Research,0.0,0.0,1.6307894170864154,0.0,0.0,0
LEG,58492,0,1883,Home Furnishings,Consumer Discretionary,"Carthage, Missouri",reports,Leggett & Platt,0.0,0.0,0.9910423146441064,0.0,0.0,0
LEN,920760,10/4/2005,0,Homebuilding,Consumer Discretionary,"Miami, Florida",reports,Lennar Corp.,0.2497862457577872,0.0,0.9575161242744092,0.0,0.0,0
LLY,59478,12/31/1970,1876,Pharmaceuticals,Health Care,"Indianapolis, Indiana",reports,Lilly (Eli) & Co.,0.0,0.0,0.7370137896620159,0.0,0.0,1
LNC,59558,6/30/1976,0,Multi-line Insurance,Financials,"Radnor, Pennsylvania",reports,Lincoln National,-0.4812174101489973,0.0,1.27797108197576,0.0,0.0,6
LKQ,1065696,5/23/2016,0,Distributors,Consumer Discretionary,"Chicago, Illinois",reports,LKQ Corporation,0.0,0.0,0.9321793428862692,0.0,0.0,0
LMT,936468,7/31/1984,0,Aerospace & Defense,Industrials,"Bethesda, Maryland",reports,Lockheed Martin Corp.,0.0,0.0,0.7890700688835258,0.0,0.0,1
L,60086,0,0,Multi-line Insurance,Financials,"New York, New York",reports,Loews Corp.,-0.1328964061804529,0.0,0.8609398816618274,0.0,0.0,0
LOW,60667,2/29/1984,1904/1946/1959,Home Improvement Retail,Consumer Discretionary,"Mooresville, North Carolina",reports,Lowe's Cos.,0.0,0.0,1.0871923459256614,0.0,0.0,0
LYB,1489393,9/5/2012,0,Specialty Chemicals,Materials,"Rotterdam, Netherlands",reports,LyondellBasell,0.0,0.0,1.027307001309184,0.0,0.04293015811322248,0
MTB,36270,0,1856,Regional Banks,Financials,"Buffalo, New York",reports,M&T Bank Corp.,-0.354448478370797,0.0,0.863275530141476,0.0,0.0,6
M,794367,0,1929,Department Stores,Consumer Discretionary,"Cincinnati, Ohio",reports,Macy's Inc.,-0.3323140201017277,0.0,0.962914106140736,0.0,0.0,6
MRO,101778,5/1/1991,0,Oil & Gas Exploration & Production,Energy,"Houston, Texas",reports,Marathon Oil Corp.,0.0,0.0,1.4300939228645697,0.0,0.1639245763191334,3
MPC,1510295,7/1/2011,0,Oil & Gas Refining & Marketing,Energy,"Findlay, Ohio",reports,Marathon Petroleum,0.0,0.0,1.130570374916967,0.0,0.10564848498988526,3
MAR,1048286,0,1927,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,"Bethesda, Maryland",reports,Marriott Int'l.,0.0,0.0,1.0619902965104109,0.0,0.0,0
MMC,62709,8/31/1987,0,Insurance Brokers,Financials,"New York, New York",reports,Marsh & McLennan,0.0,0.0,0.7641451173300889,0.0,0.0,1
MLM,916076,7/2/2014,0,Construction Materials,Materials,"Raleigh, North Carolina",reports,Martin Marietta Materials,0.0,0.0,0.940465241048938,0.0,0.0,0
MAS,62996,6/30/1981,0,Building Products,Industrials,"Livonia, Michigan",reports,Masco Corp.,0.0,0.0,1.1138493447242273,0.0,0.0,0
MA,1141391,7/18/2008,0,Data Processing & Outsourced Services,Information Technology,"Harrison, New York",reports,Mastercard Inc.,0.0,0.0008924040146499414,1.3030039189594924,0.0,0.0,7
MKC,63754,0,1889,Packaged Foods & Meats,Consumer Staples,"Hunt Valley, Maryland",reports,McCormick & Co.,0.134227222442066,0.0,0.5523163357058294,0.0,0.0,1
MCD,63908,6/30/1970,1940,Restaurants,Consumer Discretionary,"Chicago, Illinois",reports,McDonald's Corp.,0.0,0.0,0.4982694973272699,0.0,0.0,1
MCK,927653,0,1833,Health Care Distributors,Health Care,"Irving, Texas",reports,McKesson Corp.,0.0,0.0,0.8820410129692544,0.0,0.0,0
MDT,1613103,10/31/1986,1949,Health Care Equipment,Health Care,"Dublin, Ireland",reports,Medtronic plc,0.0,0.0,0.810222836502112,0.0,-0.021409475549380497,1
MRK,310158,0,1891,Pharmaceuticals,Health Care,"Kenilworth, New Jersey",reports,Merck & Co.,0.0,0.0,0.7133121656734845,0.0,0.0,1
MET,1099219,0,1868,Life & Health Insurance,Financials,"New York, New York",reports,MetLife Inc.,-0.4196527009172599,0.0,1.0593146153836173,0.0,0.0,6
MTD,1037646,9/6/2016,0,Life Sciences Tools & Services,Health Care,"Columbus, Ohio",reports,Mettler Toledo,0.0,0.0,1.1465372850917328,0.0,0.0,0
MCHP,827054,9/7/2007,0,Semiconductors,Information Technology,"Chandler, Arizona",reports,Microchip Technology,0.0,0.0,1.419658682237184,0.0,0.0,0
MU,723125,9/27/1994,0,Semiconductors,Information Technology,"Boise, Idaho",reports,Micron Technology,0.0,0.0,1.8353911355343693,0.0,0.0,0
MSFT,789019,6/1/1994,1975,Systems Software,Information Technology,"Redmond, Washington",reports,Microsoft Corp.,0.0,0.0006843550071735388,1.3741176752878166,0.0,0.0,7
MAA,912595,12/2/2016,0,Residential REITs,Real Estate,"Memphis, Tennessee",reports,Mid-America Apartments,0.0,0.0,0.4529033857481423,0.0,0.0,1
MHK,851968,12/23/2013,0,Home Furnishings,Consumer Discretionary,"Calhoun, Georgia",reports,Mohawk Industries,0.0,0.0,1.0034728700518505,0.0,0.0,0
TAP,24545,6/30/1976,0,Brewers,Consumer Staples,"Denver, Colorado",reports,Molson Coors Brewing Company,0.2337937829071456,0.0,0.6941553686611927,0.0,0.0,1
MDLZ,1103982,10/2/2012,0,Packaged Foods & Meats,Consumer Staples,"Deerfield, Illinois",reports,Mondelez International,0.0,0.0,0.6665642677073643,0.0,0.0,1
MNST,865752,6/28/2012,0,Soft Drinks,Consumer Staples,"Corona, California",reports,Monster Beverage,0.0,0.0,0.8483488339215179,0.0,0.0,0
MCO,1059556,0,1909,Financial Exchanges & Data,Financials,"New York, New York",reports,Moody's Corp,0.0,0.0,1.1704119404054734,0.0,0.0,0
MS,895421,0,1935,Investment Banking & Brokerage,Financials,"New York, New York",reports,Morgan Stanley,-0.4245935171579683,0.0,1.3236505997017989,0.0,0.0,6
MOS,1285785,9/26/2011,0,Fertilizers & Agricultural Chemicals,Materials,"Tampa, Florida",reports,The Mosaic Company,0.0,0.0,1.2185337699605174,0.0,0.03970945787139552,0
MSI,68505,0,1928 (2011),Communications Equipment,Information Technology,"Chicago, Illinois",reports,Motorola Solutions Inc.,0.0,0.0,0.86688416905413,0.0,0.0,0
MYL,1623613,4/23/2004,1961,Pharmaceuticals,Health Care,"Amsterdam, Netherlands",reports,Mylan N.V.,0.2493911578182921,0.0,1.1598258308813785,0.0,0.0,0
NDAQ,1120193,10/22/2008,0,Financial Exchanges & Data,Financials,"New York, New York",reports,"Nasdaq, Inc.",0.0,0.0,0.7847256371496124,0.0,0.0,1
NOV,1021860,3/14/2005,0,Oil & Gas Equipment & Services,Energy,"Houston, Texas",reports,National Oilwell Varco Inc.,0.0,0.0,1.1272403547137584,0.0,0.08765266427809923,3
