,index,CIK,Date first added,Founded,GICS Sub Industry,GICS Sector,Headquarters Location,SEC filings,Security
213,ITW,49826,2/28/1986,0,Industrial Machinery,Industrials,"Glenview, Illinois",reports,Illinois Tool Works
214,ILMN,1110803,11/19/2015,0,Life Sciences Tools & Services,Health Care,"San Diego, California",reports,Illumina Inc
215,IR,1466258,11/17/2010,0,Industrial Machinery,Industrials,"Dublin, Ireland",reports,Ingersoll-Rand PLC
216,INTC,50863,12/31/1976,0,Semiconductors,Information Technology,"Santa Clara, California",reports,Intel Corp.
217,ICE,1571949,9/26/2007,0,Financial Exchanges & Data,Financials,"Atlanta, Georgia",reports,Intercontinental Exchange
218,IBM,51143,0,1911,IT Consulting & Other Services,Information Technology,"Armonk, New York",reports,International Business Machines
219,INCY,879169,2/28/2017,0,Biotechnology,Health Care,"Wilmington, Delaware",reports,Incyte
220,IP,51434,0,1898,Paper Packaging,Materials,"Memphis, Tennessee",reports,International Paper
221,IPG,51644,10/1/1992,0,Advertising,Communication Services,"New York, New York",reports,Interpublic Group
222,IFF,51253,3/31/1976,0,Specialty Chemicals,Materials,"New York, New York",reports,Intl Flavors & Fragrances
223,INTU,896878,12/5/2000,0,Application Software,Information Technology,"Mountain View, California",reports,Intuit Inc.
224,ISRG,1035267,6/2/2008,0,Health Care Equipment,Health Care,"Sunnyvale, California",reports,Intuitive Surgical Inc.
225,IVZ,914208,8/21/2008,0,Asset Management & Custody Banks,Financials,"Atlanta, Georgia",reports,Invesco Ltd.
226,IRM,1020569,1/6/2009,0,Specialized REITs,Real Estate,"Boston, Massachusetts",reports,Iron Mountain Incorporated
227,JBHT,728535,7/1/2015,0,Trucking,Industrials,"Lowell, Arkansas",reports,J. B. Hunt Transport Services
228,SJM,91419,11/6/2008,0,Packaged Foods & Meats,Consumer Staples,"Orrville, Ohio",reports,JM Smucker
229,JNJ,200406,6/30/1973,1886,Pharmaceuticals,Health Care,"New Brunswick, New Jersey",reports,Johnson & Johnson
230,JCI,833444,8/27/2010,0,Building Products,Industrials,"Cork, Ireland",reports,Johnson Controls International
231,JPM,19617,6/30/1975,0,Diversified Banks,Financials,"New York, New York",reports,JPMorgan Chase & Co.
232,JNPR,1043604,0,1996,Communications Equipment,Information Technology,"Sunnyvale, California",reports,Juniper Networks
233,KSU,54480,5/24/2013,0,Railroads,Industrials,"Kansas City, Missouri",reports,Kansas City Southern
234,K,55067,0,1906,Packaged Foods & Meats,Consumer Staples,"Battle Creek, Michigan",reports,Kellogg Co.
235,KEY,91576,3/1/1994,0,Regional Banks,Financials,"Cleveland, Ohio",reports,KeyCorp
236,KMB,55785,0,1872,Household Products,Consumer Staples,"Irving, Texas",reports,Kimberly-Clark
237,KIM,879101,4/4/2006,0,Retail REITs,Real Estate,"New Hyde Park, New York",reports,Kimco Realty
238,KMI,1506307,5/25/2012,0,Oil & Gas Storage & Transportation,Energy,"Houston, Texas",reports,Kinder Morgan
239,KLAC,319201,0,1975/1977 (1997),Semiconductor Equipment,Information Technology,"Milpitas, California",reports,KLA Corporation
240,KSS,885639,0,1962,General Merchandise Stores,Consumer Discretionary,"Menomonee Falls, Wisconsin",reports,Kohl's Corp.
241,KHC,1637459,7/6/2015,2015 (1869),Packaged Foods & Meats,Consumer Staples,"Chicago, Illinois; Pittsburgh, Pennsylvania",reports,Kraft Heinz Co
242,KR,56873,0,1883,Food Retail,Consumer Staples,"Cincinnati, Ohio",reports,Kroger Co.
243,LB,701985,9/30/1983,0,Apparel Retail,Consumer Discretionary,"Columbus, Ohio",reports,L Brands Inc.
244,LH,920148,11/1/2004,0,Health Care Services,Health Care,"Burlington, North Carolina",reports,Laboratory Corp. of America Holding
245,LRCX,707549,6/29/2012,0,Semiconductor Equipment,Information Technology,"Fremont, California",reports,Lam Research
246,LEG,58492,0,1883,Home Furnishings,Consumer Discretionary,"Carthage, Missouri",reports,Leggett & Platt
247,LEN,920760,10/4/2005,0,Homebuilding,Consumer Discretionary,"Miami, Florida",reports,Lennar Corp.
248,LLY,59478,12/31/1970,1876,Pharmaceuticals,Health Care,"Indianapolis, Indiana",reports,Lilly (Eli) & Co.
249,LNC,59558,6/30/1976,0,Multi-line Insurance,Financials,"Radnor, Pennsylvania",reports,Lincoln National
250,LKQ,1065696,5/23/2016,0,Distributors,Consumer Discretionary,"Chicago, Illinois",reports,LKQ Corporation
251,LMT,936468,7/31/1984,0,Aerospace & Defense,Industrials,"Bethesda, Maryland",reports,Lockheed Martin Corp.
252,L,60086,0,0,Multi-line Insurance,Financials,"New York, New York",reports,Loews Corp.
253,LOW,60667,2/29/1984,1904/1946/1959,Home Improvement Retail,Consumer Discretionary,"Mooresville, North Carolina",reports,Lowe's Cos.
254,LYB,1489393,9/5/2012,0,Specialty Chemicals,Materials,"Rotterdam, Netherlands",reports,LyondellBasell
255,MTB,36270,0,1856,Regional Banks,Financials,"Buffalo, New York",reports,M&T Bank Corp.
256,M,794367,0,1929,Department Stores,Consumer Discretionary,"Cincinnati, Ohio",reports,Macy's Inc.
257,MRO,101778,5/1/1991,0,Oil & Gas Exploration & Production,Energy,"Houston, Texas",reports,Marathon Oil Corp.
258,MPC,1510295,7/1/2011,0,Oil & Gas Refining & Marketing,Energy,"Findlay, Ohio",reports,Marathon Petroleum
259,MAR,1048286,0,1927,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,"Bethesda, Maryland",reports,Marriott Int'l.
260,MMC,62709,8/31/1987,0,Insurance Brokers,Financials,"New York, New York",reports,Marsh & McLennan
261,MLM,916076,7/2/2014,0,Construction Materials,Materials,"Raleigh, North Carolina",reports,Martin Marietta Materials
262,MAS,62996,6/30/1981,0,Building Products,Industrials,"Livonia, Michigan",reports,Masco Corp.
263,MA,1141391,7/18/2008,0,Data Processing & Outsourced Services,Information Technology,"Harrison, New York",reports,Mastercard Inc.
264,MKC,63754,0,1889,Packaged Foods & Meats,Consumer Staples,"Hunt Valley, Maryland",reports,McCormick & Co.
265,MCD,63908,6/30/1970,1940,Restaurants,Consumer Discretionary,"Chicago, Illinois",reports,McDonald's Corp.
266,MCK,927653,0,1833,Health Care Distributors,Health Care,"Irving, Texas",reports,McKesson Corp.
267,MDT,1613103,10/31/1986,1949,Health Care Equipment,Health Care,"Dublin, Ireland",reports,Medtronic plc
268,MRK,310158,0,1891,Pharmaceuticals,Health Care,"Kenilworth, New Jersey",reports,Merck & Co.
269,MET,1099219,0,1868,Life & Health Insurance,Financials,"New York, New York",reports,MetLife Inc.
270,MTD,1037646,9/6/2016,0,Life Sciences Tools & Services,Health Care,"Columbus, Ohio",reports,Mettler Toledo
271,MCHP,827054,9/7/2007,0,Semiconductors,Information Technology,"Chandler, Arizona",reports,Microchip Technology
272,MU,723125,9/27/1994,0,Semiconductors,Information Technology,"Boise, Idaho",reports,Micron Technology
273,MSFT,789019,6/1/1994,1975,Systems Software,Information Technology,"Redmond, Washington",reports,Microsoft Corp.
274,MAA,912595,12/2/2016,0,Residential REITs,Real Estate,"Memphis, Tennessee",reports,Mid-America Apartments
275,MHK,851968,12/23/2013,0,Home Furnishings,Consumer Discretionary,"Calhoun, Georgia",reports,Mohawk Industries
276,TAP,24545,6/30/1976,0,Brewers,Consumer Staples,"Denver, Colorado",reports,Molson Coors Brewing Company
277,MDLZ,1103982,10/2/2012,0,Packaged Foods & Meats,Consumer Staples,"Deerfield, Illinois",reports,Mondelez International
278,MNST,865752,6/28/2012,0,Soft Drinks,Consumer Staples,"Corona, California",reports,Monster Beverage
279,MCO,1059556,0,1909,Financial Exchanges & Data,Financials,"New York, New York",reports,Moody's Corp
280,MS,895421,0,1935,Investment Banking & Brokerage,Financials,"New York, New York",reports,Morgan Stanley
281,MOS,1285785,9/26/2011,0,Fertilizers & Agricultural Chemicals,Materials,"Tampa, Florida",reports,The Mosaic Company
282,MSI,68505,0,1928 (2011),Communications Equipment,Information Technology,"Chicago, Illinois",reports,Motorola Solutions Inc.
283,MYL,1623613,4/23/2004,1961,Pharmaceuticals,Health Care,"Amsterdam, Netherlands",reports,Mylan N.V.
284,NDAQ,1120193,10/22/2008,0,Financial Exchanges & Data,Financials,"New York, New York",reports,"Nasdaq, Inc."
285,NOV,1021860,3/14/2005,0,Oil & Gas Equipment & Services,Energy,"Houston, Texas",reports,National Oilwell Varco Inc.
286,NTAP,1002047,6/25/1999,0,"Technology Hardware, Storage & Peripherals",Information Technology,"Sunnyvale, California",reports,NetApp
287,NFLX,1065280,12/20/2010,1997,Movies & Entertainment,Communication Services,"Los Gatos, California",reports,Netflix Inc.
288,NWL,814453,4/30/1989,0,Housewares & Specialties,Consumer Discretionary,"Atlanta, Georgia",reports,Newell Brands
289,NEM,1164727,6/30/1969,1921,Gold,Materials,"Denver, Colorado",reports,Newmont Corporation
290,NWSA,1564708,8/1/2013,0,Publishing,Communication Services,"New York, New York",reports,News Corp. Class A
291,NWS,1564708,9/18/2015,0,Publishing,Communication Services,"New York, New York",reports,News Corp. Class B
292,NEE,753308,6/30/1976,0,Multi-Utilities,Utilities,"Juno Beach, Florida",reports,NextEra Energy
293,NLSN,1492633,7/9/2013,0,Research & Consulting Services,Industrials,"New York, New York",reports,Nielsen Holdings
294,NKE,320187,11/30/1988,0,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,"Washington County, Oregon",reports,Nike
295,NI,1111711,0,1912,Multi-Utilities,Utilities,"Merrillville, Indiana",reports,NiSource Inc.
296,NBL,72207,10/8/2007,0,Oil & Gas Exploration & Production,Energy,"Houston, Texas",reports,Noble Energy Inc
297,JWN,72333,8/31/1986,0,Department Stores,Consumer Discretionary,"Seattle, Washington",reports,Nordstrom
298,NSC,702165,0,1881/1894 (1980),Railroads,Industrials,"Norfolk, Virginia",reports,Norfolk Southern Corp.
299,NTRS,73124,0,1889,Asset Management & Custody Banks,Financials,"Chicago, Illinois",reports,Northern Trust Corp.
300,NOC,1133421,6/30/1985,0,Aerospace & Defense,Industrials,"West Falls Church, Virginia",reports,Northrop Grumman
301,NRG,1013871,1/29/2010,0,Independent Power Producers & Energy Traders,Utilities,"Princeton, New Jersey",reports,NRG Energy
302,NUE,73309,4/30/1985,0,Steel,Materials,"Charlotte, North Carolina",reports,Nucor Corp.
303,NVDA,1045810,11/30/2001,0,Semiconductors,Information Technology,"Santa Clara, California",reports,Nvidia Corporation
304,ORLY,898173,3/27/2009,0,Specialty Stores,Consumer Discretionary,"Springfield, Missouri",reports,O'Reilly Automotive
305,OXY,797468,12/31/1982,0,Oil & Gas Exploration & Production,Energy,"Houston, Texas",reports,Occidental Petroleum
306,OMC,29989,0,1986,Advertising,Communication Services,"New York, New York",reports,Omnicom Group
307,OKE,1039684,3/15/2010,0,Oil & Gas Storage & Transportation,Energy,"Tulsa, Oklahoma",reports,ONEOK
308,ORCL,1341439,8/31/1989,0,Application Software,Information Technology,"Redwood Shores, California",reports,Oracle Corp.
309,PCAR,75362,12/31/1980,0,Construction Machinery & Heavy Trucks,Industrials,"Bellevue, Washington",reports,PACCAR Inc.
310,PH,76334,11/30/1985,0,Industrial Machinery,Industrials,"Cleveland, Ohio",reports,Parker-Hannifin
311,PAYX,723531,0,1971,Data Processing & Outsourced Services,Information Technology,"Penfield, New York",reports,Paychex Inc.
312,PYPL,1633917,7/20/2015,1998,Data Processing & Outsourced Services,Information Technology,"San Jose, California",reports,PayPal
313,PNR,77360,10/1/2012,0,Industrial Machinery,Industrials,"Worsley, UK",reports,Pentair plc
314,PBCT,1378946,11/13/2008,0,Thrifts & Mortgage Finance,Financials,"Bridgeport, Connecticut",reports,People's United Financial
315,PEP,77476,0,1898,Soft Drinks,Consumer Staples,"Purchase, New York",reports,PepsiCo Inc.
316,PKI,31791,5/31/1985,0,Health Care Equipment,Health Care,"Waltham, Massachusetts",reports,PerkinElmer
317,PRGO,1585364,12/19/2011,0,Pharmaceuticals,Health Care,"Dublin, Ireland",reports,Perrigo
318,PFE,78003,0,1849,Pharmaceuticals,Health Care,"New York, New York",reports,Pfizer Inc.
319,PM,1413329,3/31/2008,0,Tobacco,Consumer Staples,"New York, New York",reports,Philip Morris International
320,PSX,1534701,5/1/2012,0,Oil & Gas Refining & Marketing,Energy,"Houston, Texas",reports,Phillips 66
321,PNW,764622,0,1985,Multi-Utilities,Utilities,"Phoenix, Arizona",reports,Pinnacle West Capital
322,PXD,1038357,9/24/2008,0,Oil & Gas Exploration & Production,Energy,"Irving, Texas",reports,Pioneer Natural Resources
323,PNC,713676,4/30/1988,0,Regional Banks,Financials,"Pittsburgh, Pennsylvania",reports,PNC Financial Services
324,RL,1037038,2/2/2007,0,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,"New York, New York",reports,Ralph Lauren Corporation
325,PPG,79879,0,1883,Specialty Chemicals,Materials,"Pittsburgh, Pennsylvania",reports,PPG Industries
326,PPL,922224,0,0,Electric Utilities,Utilities,"Allentown, Pennsylvania",reports,PPL Corp.
327,PFG,1126328,7/22/2002,0,Life & Health Insurance,Financials,"Des Moines, Iowa",reports,Principal Financial Group
328,PG,80424,0,1837,Personal Products,Consumer Staples,"Cincinnati, Ohio",reports,Procter & Gamble
329,PGR,80661,8/4/1997,0,Property & Casualty Insurance,Financials,"Mayfield Village, Ohio",reports,Progressive Corp.
330,PLD,1045609,7/17/2003,0,Industrial REITs,Real Estate,"San Francisco, California",reports,Prologis
331,PRU,1137774,7/22/2002,0,Life & Health Insurance,Financials,"Newark, New Jersey",reports,Prudential Financial
332,PEG,788784,0,0,Electric Utilities,Utilities,"Newark, New Jersey",reports,Public Serv. Enterprise Inc.
333,PSA,1393311,8/19/2005,0,Specialized REITs,Real Estate,"Glendale, California",reports,Public Storage
334,PHM,822416,4/30/1984,0,Homebuilding,Consumer Discretionary,"Atlanta, Georgia",reports,PulteGroup
335,PVH,78239,2/15/2013,0,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,"New York, New York",reports,PVH Corp.
336,QRVO,1604778,6/11/2015,2015,Semiconductors,Information Technology,"Greensboro, North Carolina",reports,Qorvo
337,PWR,1050915,7/1/2009,0,Construction & Engineering,Industrials,"Houston, Texas",reports,Quanta Services Inc.
338,QCOM,804328,0,1985,Semiconductors,Information Technology,"San Diego, California",reports,QUALCOMM Inc.
339,DGX,1022079,12/12/2002,0,Health Care Services,Health Care,"Madison, New Jersey",reports,Quest Diagnostics
340,RJF,720005,3/20/2017,0,Investment Banking & Brokerage,Financials,"St. Petersburg, Florida",reports,Raymond James Financial Inc.
341,RTN,1047122,0,1922,Aerospace & Defense,Industrials,"Waltham, Massachusetts",reports,Raytheon Co.
342,O,726728,4/7/2015,0,Retail REITs,Real Estate,"San Diego, California",reports,Realty Income Corporation
343,REG,910606,3/2/2017,0,Retail REITs,Real Estate,"Jacksonville, Florida",reports,Regency Centers Corporation
344,REGN,872589,5/1/2013,0,Biotechnology,Health Care,"Tarrytown, New York",reports,Regeneron Pharmaceuticals
345,RF,1281761,8/28/1998,0,Regional Banks,Financials,"Birmingham, Alabama",reports,Regions Financial Corp.
346,RSG,1060391,12/5/2008,0,Environmental & Facilities Services,Industrials,"Phoenix, Arizona",reports,Republic Services Inc
347,RHI,315213,12/5/2000,0,Human Resource & Employment Services,Industrials,"Menlo Park, California",reports,Robert Half International
348,ROK,1024478,0,0,Electrical Components & Equipment,Industrials,"Milwaukee, Wisconsin",reports,Rockwell Automation Inc.
349,ROST,745732,12/21/2009,0,Apparel Retail,Consumer Discretionary,"Pleasanton, California",reports,Ross Stores
350,RCL,884887,12/5/2014,0,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,"Miami, Florida",reports,Royal Caribbean Cruises Ltd
351,CRM,1108524,9/15/2008,0,Application Software,Information Technology,"San Francisco, California",reports,Salesforce.com
352,STX,1137789,7/2/2012,0,"Technology Hardware, Storage & Peripherals",Information Technology,"Dublin, Ireland",reports,Seagate Technology
353,SEE,1012100,0,0,Paper Packaging,Materials,"Elmwood Park, New Jersey",reports,Sealed Air
354,SRE,1032208,0,0,Multi-Utilities,Utilities,"San Diego, California",reports,Sempra Energy
355,SHW,89800,6/30/1964,1866,Specialty Chemicals,Materials,"Cleveland, Ohio",reports,Sherwin-Williams
356,SPG,1063761,6/26/2002,2003,Retail REITs,Real Estate,"Indianapolis, Indiana",reports,Simon Property Group Inc
357,SWKS,4127,3/12/2015,0,Semiconductors,Information Technology,"Woburn, Massachusetts",reports,Skyworks Solutions
358,SLG,1040971,3/20/2015,0,Office REITs,Real Estate,"New York, New York",reports,SL Green Realty
359,SNA,91440,9/30/1982,1920,Industrial Machinery,Industrials,"Kenosha, Wisconsin",reports,Snap-on
360,SO,92122,0,0,Electric Utilities,Utilities,"Atlanta, Georgia",reports,Southern Co.
361,LUV,92380,7/1/1994,0,Airlines,Industrials,"Dallas, Texas",reports,Southwest Airlines
362,SPGI,64040,0,0,Financial Exchanges & Data,Financials,"New York, New York",reports,"S&P Global, Inc."
363,SWK,93556,9/30/1982,0,Industrial Machinery,Industrials,"New Britain, Connecticut",reports,Stanley Black & Decker
364,SBUX,829224,0,1971,Restaurants,Consumer Discretionary,"Seattle, Washington",reports,Starbucks Corp.
365,STT,93751,0,0,Asset Management & Custody Banks,Financials,"Boston, Massachusetts",reports,State Street Corp.
366,SYK,310764,12/12/2000,0,Health Care Equipment,Health Care,"Kalamazoo, Michigan",reports,Stryker Corp.
367,SYF,1601712,11/18/2015,2003,Consumer Finance,Financials,"Stamford, Connecticut",reports,Synchrony Financial
368,SNPS,883241,3/16/2017,0,Application Software,Information Technology,"Mountain View, California",reports,Synopsys Inc.
369,SYY,96021,12/31/1986,0,Food Distributors,Consumer Staples,"Houston, Texas",reports,Sysco Corp.
370,TROW,1113169,0,1937,Asset Management & Custody Banks,Financials,"Baltimore, Maryland",reports,T. Rowe Price Group
371,TGT,27419,12/31/1976,0,General Merchandise Stores,Consumer Discretionary,"Minneapolis, Minnesota",reports,Target Corp.
372,TEL,1385157,10/17/2011,0,Electronic Manufacturing Services,Information Technology,"Schaffhausen, Switzerland",reports,TE Connectivity Ltd.
373,FTI,1681459,6/5/2009,2017 (1958),Oil & Gas Equipment & Services,Energy,"London, United Kingdom",reports,TechnipFMC
374,TXN,97476,0,1930,Semiconductors,Information Technology,"Dallas, Texas",reports,Texas Instruments
375,TXT,217346,12/31/1978,0,Aerospace & Defense,Industrials,"Providence, Rhode Island",reports,Textron Inc.
376,TMO,97745,0,2006 (1902),Life Sciences Tools & Services,Health Care,"Waltham, Massachusetts",reports,Thermo Fisher Scientific
377,TIF,98246,6/21/2000,0,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,"New York, New York",reports,Tiffany & Co.
378,TJX,109198,9/30/1985,0,Apparel Retail,Consumer Discretionary,"Framingham, Massachusetts",reports,TJX Companies Inc.
379,TSCO,916365,1/24/2014,0,Specialty Stores,Consumer Discretionary,"Brentwood, Tennessee",reports,Tractor Supply Company
380,TDG,1260221,6/3/2016,0,Aerospace & Defense,Industrials,"Cleveland, Ohio",reports,TransDigm Group
381,TRV,86312,8/21/2002,0,Property & Casualty Insurance,Financials,"New York, New York",reports,The Travelers Companies Inc.
382,TSN,100493,0,0,Packaged Foods & Meats,Consumer Staples,"Springdale, Arkansas",reports,Tyson Foods
383,UDR,74208,3/7/2016,0,Residential REITs,Real Estate,"Highlands Ranch, Colorado",reports,"UDR, Inc."
384,ULTA,1403568,4/18/2016,1990,Specialty Stores,Consumer Discretionary,"Bolingbrook, Illinois",reports,Ulta Beauty
385,USB,36104,0,1968,Diversified Banks,Financials,"Minneapolis, Minnesota",reports,U.S. Bancorp
386,UA,1336917,5/1/2014,0,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,"Baltimore, Maryland",reports,Under Armour Class C
387,UAA,1336917,3/25/2016,0,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,"Baltimore, Maryland",reports,Under Armour Class A
388,UNP,100885,0,0,Railroads,Industrials,"Omaha, Nebraska",reports,Union Pacific Corp
389,UAL,100517,9/3/2015,0,Airlines,Industrials,"Chicago, Illinois",reports,United Airlines Holdings
390,UNH,731766,7/1/1994,0,Managed Health Care,Health Care,"Minnetonka, Minnesota",reports,United Health Group Inc.
391,UPS,1090727,7/22/2002,0,Air Freight & Logistics,Industrials,"Atlanta, Georgia",reports,United Parcel Service
392,URI,1067701,9/20/2014,0,Trading Companies & Distributors,Industrials,"Stamford, Connecticut",reports,"United Rentals, Inc."
393,UTX,101829,0,0,Aerospace & Defense,Industrials,"Hartford, Connecticut",reports,United Technologies
394,UHS,352915,9/20/2014,0,Health Care Facilities,Health Care,"King of Prussia, Pennsylvania",reports,"Universal Health Services, Inc."
395,UNM,5513,3/1/1994,0,Life & Health Insurance,Financials,"Chattanooga, Tennessee",reports,Unum Group
396,VFC,103379,6/30/1979,0,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,"Greensboro, North Carolina",reports,V.F. Corp.
397,VLO,1035002,0,1980,Oil & Gas Refining & Marketing,Energy,"San Antonio, Texas",reports,Valero Energy
398,VAR,203527,2/12/2007,0,Health Care Equipment,Health Care,"Palo Alto, California",reports,Varian Medical Systems
399,VTR,740260,3/4/2009,0,Health Care REITs,Real Estate,"Chicago, Illinois",reports,Ventas Inc
400,VRSN,1014473,2/1/2006,0,Internet Services & Infrastructure,Information Technology,"Dulles, Virginia",reports,Verisign Inc.
401,VRSK,1442145,10/8/2015,0,Research & Consulting Services,Industrials,"Jersey City, New Jersey",reports,Verisk Analytics
402,VZ,732712,11/30/1983,0,Integrated Telecommunication Services,Communication Services,"New York, New York",reports,Verizon Communications
403,VRTX,875320,9/23/2013,0,Biotechnology,Health Care,"Cambridge, Massachusetts",reports,Vertex Pharmaceuticals Inc
404,V,1403161,12/21/2009,0,Data Processing & Outsourced Services,Information Technology,"San Francisco, California",reports,Visa Inc.
405,VNO,899689,0,0,Office REITs,Real Estate,"New York, New York",reports,Vornado Realty Trust
406,VMC,1396009,6/30/1999,0,Construction Materials,Materials,"Birmingham, Alabama",reports,Vulcan Materials
407,WMT,104169,8/31/1982,0,Hypermarkets & Super Centers,Consumer Staples,"Bentonville, Arkansas",reports,Walmart
408,WBA,1618921,12/31/1979,2014,Drug Retail,Consumer Staples,"Deerfield, Illinois",reports,Walgreens Boots Alliance
409,DIS,1001039,6/30/1976,0,Movies & Entertainment,Communication Services,"Burbank, California",reports,The Walt Disney Company
410,WM,823768,0,1968,Environmental & Facilities Services,Industrials,"Houston, Texas",reports,Waste Management Inc.
411,WAT,1000697,0,1958,Health Care Distributors,Health Care,"Milford, Massachusetts",reports,Waters Corporation
412,WEC,783325,10/31/2008,0,Electric Utilities,Utilities,"Milwaukee, Wisconsin",reports,Wec Energy Group Inc
413,WFC,72971,6/30/1976,0,Diversified Banks,Financials,"San Francisco, California",reports,Wells Fargo
414,WDC,106040,7/1/2009,0,"Technology Hardware, Storage & Peripherals",Information Technology,"Irvine, California",reports,Western Digital
415,WU,1365135,0,1851,Data Processing & Outsourced Services,Information Technology,"Englewood, Colorado",reports,Western Union Co
416,WRK,1636023,0,2015,Paper Packaging,Materials,"Richmond, Virginia",reports,WestRock
417,WY,106535,0,0,Specialized REITs,Real Estate,"Federal Way, Washington",reports,Weyerhaeuser
418,WHR,106640,0,1911,Household Appliances,Consumer Discretionary,"Benton Harbor, Michigan",reports,Whirlpool Corp.
419,WMB,107263,3/31/1975,0,Oil & Gas Storage & Transportation,Energy,"Tulsa, Oklahoma",reports,Williams Cos.
420,WLTW,1140536,1/5/2016,0,Insurance Brokers,Financials,"London, United Kingdom",reports,Willis Towers Watson
421,WYNN,1174922,11/14/2008,0,Casinos & Gaming,Consumer Discretionary,"Paradise, Nevada",reports,Wynn Resorts Ltd
422,XEL,72903,0,1909,Multi-Utilities,Utilities,"Minneapolis, Minnesota",reports,Xcel Energy Inc
423,XRX,108772,0,1906,"Technology Hardware, Storage & Peripherals",Information Technology,"Norwalk, Connecticut",reports,Xerox
424,XLNX,743988,11/8/1999,0,Semiconductors,Information Technology,"San Jose, California",reports,Xilinx
425,XYL,1524472,11/1/2011,0,Industrial Machinery,Industrials,"White Plains, New York",reports,Xylem Inc.
426,YUM,1041061,10/6/1997,0,Restaurants,Consumer Discretionary,"Louisville, Kentucky",reports,Yum! Brands Inc
427,ZBH,1136869,8/7/2001,0,Health Care Equipment,Health Care,"Warsaw, Indiana",reports,Zimmer Biomet Holdings
428,ZION,109380,6/22/2001,0,Regional Banks,Financials,"Salt Lake City, Utah",reports,Zions Bancorp
429,ZTS,1555280,6/21/2013,0,Pharmaceuticals,Health Care,"Florham Park, New Jersey",reports,Zoetis
